Match ID,Match Data,Year,season Round,Home Team,Visitor Team,Home Team Goal Scored,Visitor team goal Scored,Home team Brazil's State,Visitor team Brazil's State
2010.01.0001,8/5/2010,2010,1,Botafogo-RJ,Santos,3,3,RJ,SP
2010.01.0002,8/5/2010,2010,1,Atlético-GO,Grêmio,0,0,GO,RS
2010.01.0003,8/5/2010,2010,1,Palmeiras,Vitória,1,0,SP,BA
2010.01.0004,9/5/2010,2010,1,Flamengo,São Paulo,1,1,RJ,SP
2010.01.0005,9/5/2010,2010,1,Atlético-MG,Vasco,2,1,MG,RJ
2010.01.0006,9/5/2010,2010,1,Internacional,Cruzeiro,1,2,RS,MG
2010.01.0007,9/5/2010,2010,1,Corinthians,Athletico-PR,2,1,SP,PR
2010.01.0008,9/5/2010,2010,1,Ceará,Fluminense,1,0,CE,RJ
2010.01.0009,9/5/2010,2010,1,Guarani,Goiás,1,0,SP,GO
2010.01.0010,9/5/2010,2010,1,Avaí,Grêmio Prudente,6,1,SC,SP
2010.02.0011,15/05/2010,2010,2,Fluminense,Atlético-GO,1,0,RJ,GO
2010.02.0012,15/05/2010,2010,2,Grêmio Prudente,Atlético-MG,4,0,SP,MG
2010.02.0013,15/05/2010,2010,2,Vitória,Flamengo,1,1,ES,RJ
2010.02.0014,16/05/2010,2010,2,Santos,Ceará,1,1,SP,CE
2010.02.0015,16/05/2010,2010,2,São Paulo,Botafogo-RJ,1,2,SP,RJ
2010.02.0016,16/05/2010,2010,2,Grêmio,Corinthians,1,2,RS,SP
2010.02.0017,16/05/2010,2010,2,Goiás,Internacional,2,3,GO,RS
2010.02.0018,16/05/2010,2010,2,Vasco,Palmeiras,0,0,RJ,SP
2010.02.0019,16/05/2010,2010,2,Cruzeiro,Avaí,2,2,MG,SC
2010.02.0020,16/05/2010,2010,2,Athletico-PR,Guarani,2,2,PR,SP
2010.03.0021,22/05/2010,2010,3,Botafogo-RJ,Goiás,3,0,RJ,GO
2010.03.0022,22/05/2010,2010,3,Atlético-GO,Santos,1,2,GO,SP
